YOU  Y UW
HEIGHT  HH AY T
DIVE  D AY V
TENNIS  T EH N AH S
TENNIS(1)  T EH N IH S
KOREAN  K AO R IY AH N
BREASTS  B R EH S T S
COMRADES  K AA M R AE D Z
GABRIEL  G EY B R IY AH L
SMASH  S M AE SH
SUNSHINE  S AH N SH AY N
VAST  V AE S T
DOPE  D OW P
GENTLY  JH EH N T L IY
COMPUTERS  K AH M P Y UW T ER Z
PERMIT  P ER M IH T
PERMIT(1)  P ER M IH T
WADE  W EY D
RAINING  R EY N IH NG
MASON  M EY S AH N
JAZZ  JH AE Z
UNDERCOVER  AH N D ER K AH V ER
SWALLOW  S W AA L OW
SWALLOW(1)  S W AO L OW
TOWEL  T AW AH L
TOWEL(1)  T AW L
FRIED  F R AY D
FRIED(1)  F R IY D
FUNCTION  F AH NG K SH AH N
SUGGESTED  S AH JH EH S T AH D
SUGGESTED(1)  S AH JH EH S T IH D
WHIRRING  W ER IH NG
WHIRRING(1)  HH W ER IH NG
BUNNY  B AH N IY
POLITE  P AH L AY T
ACTED  AE K T IH D
ASSUMED  AH S UW M D
NIECE  N IY S
PROSECUTOR  P R AA S IH K Y UW T ER
ALIENS  EY L IY AH N Z
FUND  F AH N D
LESLIE  L EH S L IY
CROSSING  K R AO S IH NG
SORTS  S AO R T S
OPERATE  AA P ER EY T
OPERATE(1)  AO P ER EY T
RALPH  R AE L F
HARPER  HH AA R P ER
DUTCH  D AH CH
HARRIS  HH EH R IH S
AUDITION  AA D IH SH AH N
SENSES  S EH N S IH Z
HOLMES  HH OW M Z
HOLMES(1)  HH OW L M Z
PUMP  P AH M P
REGION  R IY JH AH N
DIANE  D AY AE N
WEAKNESS  W IY K N AH S
TESTED  T EH S T IH D
CONSTANT  K AA N S T AH N T
AMONGST  AH M AH NG S T
DISCOVERY  D IH S K AH V ER IY
DISCOVERY(1)  D IH S K AH V R IY
DISCOVERY(2)  D IH S K AH V R IY
PAINTINGS  P EY N T IH NG Z
PAINTINGS(1)  P EY N IH NG Z
ADDED  AE D IH D
LINCOLN  L IH NG K AH N
CLICKING  K L IH K IH NG
WRAPPED  R AE P T
LANCE  L AE N S
NEEDLE  N IY D AH L
MI  M IY
COUGHS  K AO F S
EXECUTIVE  IH G Z EH K Y AH T IH V
HALT  HH AO L T
PETTY  P EH T IY
PRAYING  P R EY IH NG
SEALED  S IY L D
TERRIFIED  T EH R AH F AY D
EN  EH N
POPS  P AA P S
NEST  N EH S T
GRAVITY  G R AE V AH T IY
GRAVITY(1)  G R AE V IH T IY
INTERFERE  IH N T ER F IH R
INTERFERE(1)  IH N ER F IH R
KIDNAPPING  K IH D N AE P IH NG
TRAVIS  T R AE V IH S
GATHERED  G AE DH ER D
LIMITED  L IH M AH T AH D
LIMITED(1)  L IH M IH T IH D
BACKWARDS  B AE K W ER D Z
MARIO  M AA R IY OW
EXCELLENCY  EH K S L EH N S IY
DEMANDS  D IH M AE N D Z
WAGON  W AE G AH N
ABSURD  AH B S ER D
CON  K AA N
LARGEST  L AA R JH AH S T
CARSON  K AA R S AH N
CARSON(1)  K AA R Z AH N
BURST  B ER S T
UHH  AH
NEWSPAPERS  N UW Z P EY P ER Z
KISSES  K IH S AH Z
KISSES(1)  K IH S IH Z
RILEY  R AY L IY
WEED  W IY D
SOBER  S OW B ER
INTENDED  IH N T EH N D IH D
NAILS  N EY L Z
REGISTERED  R EH JH IH S T ER D
BOO  B UW
COMPLAINING  K AH M P L EY N IH NG
ELI  IY L AY
CONCEPT  K AA N S EH P T
SHINING  SH AY N IH NG
VESSEL  V EH S AH L
HALLOWEEN  HH AE L AH W IY N
AVENUE  AE V AH N UW
SUGGESTING  S AH JH EH S T IH NG
GROWS  G R OW Z
ZOO  Z UW
GROWLS  G R AW L Z
PACKING  P AE K IH NG
STINK  S T IH NG K
REGARDING  R AH G AA R D IH NG
REGARDING(1)  R IH G AA R D IH NG
DAMMIT  D AE M IH T
HOOKED  HH UH K T
RECOVERED  R AH K AH V ER D
RECOVERED(1)  R IH K AH V ER D
LEATHER  L EH DH ER
CHRISTINA  K R IH S T IY N AH
MEXICAN  M EH K S AH K AH N
HOMER  HH OW M ER
WORN  W AO R N
LIAM  L IY AH M
SHEET  SH IY T
BOOT  B UW T
REVERSE  R IH V ER S
REVERSE(1)  R IY V ER S
PERMANENT  P ER M AA N EH N T
ASSUMING  AH S UW M IH NG
BOATS  B OW T S
DI  D IY
DI(1)  D AY
ELLIE  EH L IY
GRANDSON  G R AE N D S AH N
RAISING  R EY Z IH NG
SHIELD  SH IY L D
DROWN  D R AW N
CONDUCT  K AA N D AH K T
CONDUCT(1)  K AA N D AH K T
LUGGAGE  L AH G AH JH
LUGGAGE(1)  L AH G IH JH
WORLDS  W ER L D Z
ASHES  AE SH IH Z
PROMOTION  P R AH M OW SH AH N
PROMOTION(1)  P ER M OW SH AH N
CARLA  K AA R L AA
AUSTRALIA  AO S T R EY L Y AH
MENU  M EH N Y UW
BACON  B EY K AH N
DIEGO  D IY EY G OW
SPOIL  S P OY L
GIGGLES  G IH G AH L Z
IMMUNITY  IH M Y UW N AH T IY
IMMUNITY(1)  IH M Y UW N IH T IY
RECOGNISE  R EH K AH G N AY Z
NORTHERN  N AO R DH ER N
COMPLETED  K AH M P L IY T AH D
COMPLETED(1)  K AH M P L IY T IH D
METHOD  M EH TH AH D
SCENES  S IY N Z
WARREN  W AO R AH N
PARADE  P ER EY D
TIRE  T AY ER
LAUGHED  L AE F T
POTATO  P AH T EY T OW
CELEBRATING  S EH L AH B R EY T IH NG
ANCESTORS  AE N S EH S T ER Z
UNFAIR  AH N F EH R
UNFAIR(1)  AH N F EH R
UNFAIR(2)  AO N F EH R
SAFER  S EY F ER
ELLIOT  EH L IY AH T
LUNGS  L AH NG Z
MISUNDERSTANDING  M IH S AH N D ER S T AE N D IH NG
TAG  T AE G
RADIATION  R EY D IY EY SH AH N
INDEPENDENT  IH N D IH P EH N D AH N T
HAPPIER  HH AE P IY ER
FOCUSED  F OW K AH S T
FOCUSED(1)  F OW K IH S T
REQUIRES  R IY K W AY ER Z
REQUIRES(1)  R IY K W AY R Z
ADMITTED  AH D M IH T AH D
TECHNIQUE  T EH K N IY K
REPUBLIC  R IY P AH B L AH K
REPUBLIC(1)  R IY P AH B L IH K
VALENTINE  V AE L AH N T AY N
JEWELRY  JH UW AH L R IY
JEWELRY(1)  JH UW L R IY
JEWELRY(2)  JH UW L ER IY
UNDERSTANDS  AH N D ER S T AE N D Z
NANNY  N AE N IY
YEN  Y EH N
RONNIE  R AA N IY
POISONED  P OY Z AH N D
SIRE  S AY ER
CART  K AA R T
YELLS  Y EH L Z
THANKSGIVING  TH AE NG K S G IH V IH NG
TISSUE  T IH S Y UW
TISSUE(1)  T IH SH UW
SHOOTER  SH UW T ER
OPERATIONS  AA P ER EY SH AH N Z
JEW  JH UW
ARRIVAL  ER AY V AH L
ROOT  R UW T
GALAXY  G AE L AH K S IY
NOVEMBER  N OW V EH M B ER
ORGANIZED  AO R G AH N AY Z D
CORRECTED  K ER EH K T AH D
CORRECTED(1)  K ER EH K T IH D
SHADOWS  SH AE D OW Z
GOSSIP  G AA S AH P
BLOKE  B L OW K
SKILL  S K IH L
ALIKE  AH L AY K
AMBER  AE M B ER
BUDDIES  B AH D IY Z
CONSPIRACY  K AH N S P IH R AH S IY
SETH  S EH TH
DESERVED  D IH Z ER V D
GROOM  G R UW M
DIRECTED  D ER EH K T AH D
DIRECTED(1)  D ER EH K T IH D
DIRECTED(2)  D AY R EH K T IH D
DIRECTED(3)  D IH R EH K T IH D
GIBBS  G IH B Z
DANA  D EY N AH
CHERRY  CH EH R IY
EXPLODE  IH K S P L OW D
HUNGER  HH AH NG G ER
SPENCER  S P EH N S ER
SCOTLAND  S K AA T L AH N D
RUMORS  R UW M ER Z
IDEAL  AY D IY L
ADULTS  AH D AH L T S
ADULTS(1)  AE D AH L T S
BELONGED  B IH L AO NG D
DOUGH  D OW
TERROR  T EH R ER
EVAN  EH V AH N
TRADITIONAL  T R AH D IH SH AH N AH L
DISMISSED  D IH S M IH S T
FORD  F AO R D
HAM  HH AE M
HOLIDAYS  HH AA L AH D EY Z
ANNOUNCE  AH N AW N S
YANG  Y AE NG
PRIORITY  P R AY AO R AH T IY
INCH  IH N CH
TENSE  T EH N S
MO  M OW
MANKIND  M AE N K AY N D
CLICK  K L IH K
RUMBLING  R AH M B AH L IH NG
RUMBLING(1)  R AH M B L IH NG
FORGETTING  F ER G EH T IH NG
FORGETTING(1)  F AO R G EH T IH NG
EUROPEAN  Y UH R AH P IY AH N
PILLOW  P IH L OW
BUGS  B AH G Z
SCAN  S K AE N
REHEARSAL  R IH HH ER S AH L
REHEARSAL(1)  R IY HH ER S AH L
POET  P OW AH T
CELEBRATION  S EH L AH B R EY SH AH N
RUBY  R UW B IY
CATTLE  K AE T AH L
SEVERE  S AH V IH R
DRAWER  D R AO R
DENIED  D IH N AY D
SORE  S AO R
UNCONSCIOUS  AH N K AA N SH AH S
LIGHTER  L AY T ER
SHEETS  SH IY T S
ET  EH T
STATIONS  S T EY SH AH N Z
CLOTHING  K L OW DH IH NG
QUESTIONING  K W EH S CH AH N IH NG
JEN  JH EH N
LANDS  L AE N D Z
IMMEDIATE  IH M IY D IY AH T
AY  EY
AY(1)  AY
KILLERS  K IH L ER Z
REGISTER  R EH JH IH S T ER
BROAD  B R AO D
COMIC  K AA M IH K
LAMP  L AE M P
STAB  S T AE B
DIGNITY  D IH G N AH T IY
WRECK  R EH K
EXPLAINS  IH K S P L EY N Z
BORROWED  B AA R OW D
PM  P IY EH M
FOUL  F AW L
RELATIVE  R EH L AH T IH V
INN  IH N
COMA  K OW M AH
CORPORAL  K AO R P ER AH L
CORPORAL(1)  K AO R P R AH L
NOAH  N OW AH
BUREAU  B Y UH R OW
SERVANTS  S ER V AH N T S
BASKET  B AE S K AH T
BARNEY  B AA R N IY
DAISY  D EY Z IY
TARA  T EH R AH
TARA(1)  T AA R AH
DEVELOP  D IH V EH L AH P
HORROR  HH AO R ER
CLOSEST  K L OW S AH S T
SPIRITUAL  S P IH R IH CH UW AH L
CLOSELY  K L OW S L IY
TYPES  T AY P S
SKINNY  S K IH N IY
DISTURBING  D IH S T ER B IH NG
TROY  T R OY
OATH  OW TH
DETECTIVES  D IH T EH K T IH V Z
TERRORISTS  T EH R AH R IH S T S
CHRISTOPHER  K R IH S T AH F ER
STEAM  S T IY M
SHAVE  SH EY V
KANG  K AE NG
KANG(1)  K AA NG
LARGER  L AA R JH ER
SOLO  S OW L OW
CEMETERY  S EH M AH T EH R IY
CEMETERY(1)  S EH M IH T EH R IY
GROUNDS  G R AW N D Z
GROUNDS(1)  G R AW N Z
BUMP  B AH M P
SINGH  S IH NG
APPROVE  AH P R UW V
PERSONNEL  P ER S AH N EH L
JENNA  JH EH N AH
AUDREY  AO D R IY
SPLENDID  S P L EH N D IH D
SCUM  S K AH M
PARKED  P AA R K T
SI  S IY
MOB  M AA B
PEARL  P ER L
VITAL  V AY T AH L
CONNOR  K AA N ER
CONCERNS  K AH N S ER N Z
BRANDON  B R AE N D AH N
FAITHFUL  F EY TH F AH L
LIMITS  L IH M AH T S
LIMITS(1)  L IH M IH T S
COMBINATION  K AA M B AH N EY SH AH N
REX  R EH K S
BEAM  B IY M
LOUDER  L AW D ER
IMPRESS  IH M P R EH S
IMPRESS(1)  IH M P R EH S
SUNNY  S AH N IY
JUDY  JH UW D IY
TRACY  T R EY S IY
ALLIANCE  AH L AY AH N S
PHOTOGRAPHS  F OW T AH G R AE F S
SINGS  S IH NG Z
TAXES  T AE K S AH Z
TAXES(1)  T AE K S IH Z
OU  UW
BENNY  B EH N IY
IDENTIFIED  AY D EH N T AH F AY D
COUNSELOR  K AW N S AH L ER
NAP  N AE P
FRANCS  F R AE NG K S
CONFLICT  K AA N F L IH K T
CONFLICT(1)  K AH N F L IH K T
ARRIVES  ER AY V Z
ASSISTANCE  AH S IH S T AH N S
RETREAT  R IY T R IY T
PRODUCED  P R AH D UW S T
MITCH  M IH CH
CANDIDATE  K AE N D AH D EY T
CANDIDATE(1)  K AE N AH D IH T
SUPREME  S AH P R IY M
SUPREME(1)  S ER P R IY M
RUBBER  R AH B ER
INSPIRED  IH N S P AY ER D
INFECTED  IH N F EH K T IH D
BINGO  B IH NG G OW
LEONARD  L EH N ER D
AUTOPSY  AO T AA P S IY
KENT  K EH N T
CARPET  K AA R P AH T
PUPPY  P AH P IY
OOPS  UW P S
TOES  T OW Z
VOTED  V OW T AH D
VOTED(1)  V OW T IH D
GUT  G AH T
COFFIN  K AO F IH N
VIETNAM  V IY EH T N AA M
INSTANT  IH N S T AH N T
ASH  AE SH
SCANDAL  S K AE N D AH L
ELSEWHERE  EH L S W EH R
ALLY  AE L AY
ALLY(1)  AH L AY
ARROW  AE R OW
ARROW(1)  EH R OW
DEBBIE  D EH B IY
MISERY  M IH Z ER IY
COTTON  K AA T AH N
COTTON(1)  K AO T AH N
SEBASTIAN  S AH B AE S CH AH N
SUITE  S W IY T
LECTURE  L EH K CH ER
PLANETS  P L AE N AH T S
ECONOMY  IH K AA N AH M IY
ECONOMY(1)  IY K AA N AH M IY
PAM  P AE M
STARE  S T EH R
GUARDIAN  G AA R D IY AH N
GIG  G IH G
INVESTMENT  IH N V EH S T M AH N T
INVESTMENT(1)  IH N V EH S M AH N T
ARCHER  AA R CH ER
EGYPT  IY JH AH P T
EGYPT(1)  IY JH IH P T
FOOLED  F UW L D
MARTIAL  M AA R SH AH L
HUMBLE  HH AH M B AH L
NORA  N AO R AH
HEROIN  HH EH R OW AH N
DEPOSIT  D AH P AA Z IH T
DEPOSIT(1)  D IH P AA Z AH T
ALLISON  AE L IH S AH N
CONTINUED  K AH N T IH N Y UW D
MEDAL  M EH D AH L
ADVISE  AE D V AY Z
ADVISE(1)  AH D V AY Z
OVERNIGHT  OW V ER N AY T
CELLPHONE  S EH L F OW N
FAIRLY  F EH R L IY
GUM  G AH M
INCHES  IH N CH AH Z
INCHES(1)  IH N CH IH Z
SHOUTS  SH AW T S
STINKS  S T IH NG K S
INCLUDE  IH N K L UW D
SIGHING  S AY IH NG
LEAN  L IY N
JILL  JH IH L
DEATHS  D EH TH S
SWELL  S W EH L
DECEMBER  D IH S EH M B ER
PHYSICALLY  F IH Z IH K AH L IY
PHYSICALLY(1)  F IH Z IH K L IY
FRANKLIN  F R AE NG K L IH N
SAMANTHA  S AH M AE N TH AH
COWS  K AW Z
RUSTY  R AH S T IY
COMMITMENT  K AH M IH T M AH N T
MASTERS  M AE S T ER Z
LANA  L AE N AH
DALE  D EY L
LIT  L IH T
THREATEN  TH R EH T AH N
GINA  JH IY N AH
HUT  HH AH T
PRACTICAL  P R AE K T IH K AH L
SAMPLES  S AE M P AH L Z
REPORTING  R IY P AO R T IH NG
REPORTING(1)  R IH P AO R T IH NG
FATHERS  F AA DH ER Z
DROWNED  D R AW N D
MITCHELL  M IH CH AH L
ELEMENTS  EH L AH M AH N T S
HONKING  HH AO NG K IH NG
REAR  R IH R
PHOTOGRAPHER  F AH T AA G R AH F ER
EXCITEMENT  IH K S AY T M AH N T
RANCH  R AE N CH
FEE  F IY
SIXTH  S IH K S TH
BONNIE  B AA N IY
TOOL  T UW L
OBJECTS  AA B JH EH K T S
OBJECTS(1)  AH B JH EH K T S
CHANTING  CH AE N T IH NG
HEATHER  HH EH DH ER
PROFESSION  P R AH F EH SH AH N
DOCUMENT  D AA K Y AH M EH N T
DOCUMENT(1)  D AA K Y UW M EH N T
JOURNALIST  JH ER N AH L AH S T
JOURNALIST(1)  JH ER N AH L IH S T
INJURIES  IH N JH ER IY Z
YU  Y UW
BAIT  B EY T
ADORABLE  AH D AO R AH B AH L
UNEXPECTED  AH N IH K S P EH K T IH D
ALICIA  AH L IH SH AH
BREAST  B R EH S T
RELY  R IH L AY
RELY(1)  R IY L AY
MEGAN  M EY G AH N
VULNERABLE  V AH L N ER AH B AH L
INSISTED  IH N S IH S T AH D
INSISTED(1)  IH N S IH S T IH D
IDOL  AY D AH L
SPECIFICALLY  S P AH S IH F IH K L IY
SORROW  S AA R OW
HOPELESS  HH OW P L AH S
JULES  JH UW L Z
PALE  P EY L
ROOMMATE  R UW M EY T
TOSS  T AO S
CURSED  K ER S T
LUCKILY  L AH K AH L IY
STRUGGLING  S T R AH G AH L IH NG
STRUGGLING(1)  S T R AH G L IH NG
COUNSEL  K AW N S AH L
TEENAGE  T IY N EY JH
LAYING  L EY IH NG
REACT  R IY AE K T
CANNON  K AE N AH N
DATED  D EY T IH D
PENALTY  P EH N AH L T IY
SARGE  S AA R JH
SPOTTED  S P AA T AH D
SPOTTED(1)  S P AA T IH D
ANNOUNCEMENT  AH N AW N S M EH N T
COCAINE  K OW K EY N
CRASHED  K R AE SH T
EMBRACE  EH M B R EY S
EMBRACE(1)  IH M B R EY S
SPIKE  S P AY K
DETERMINE  D AH T ER M AH N
DETERMINE(1)  D IH T ER M AH N
SATAN  S EY T AH N
ALLEN  AE L AH N
SILK  S IH L K
ISRAEL  IH Z R IY AH L
ISRAEL(1)  IH Z R EY L
ANONYMOUS  AH N AA N AH M AH S
FLOATING  F L OW T IH NG
DUNNO  D AH N OW
HON  HH AA N
RELIEVED  R IH L IY V D
RELIEVED(1)  R IY L IY V D
OPERATING  AA P ER EY T IH NG
OPERATING(1)  AO P ER EY T IH NG
WALT  W AO L T
COMMUNICATE  K AH M Y UW N AH K EY T
EASTERN  IY S T ER N
THEFT  TH EH F T
VISITOR  V IH Z IH T ER
MARKED  M AA R K T
ACID  AE S AH D
LOCATED  L OW K EY T AH D
LOCATED(1)  L OW K EY D
PLANTED  P L AE N T AH D
PLANTED(1)  P L AE N T IH D
PLANTED(2)  P L AE N AH D
PLANTED(3)  P L AE N IH D
ANDREA  AE N D R IY AH
ANDREA(1)  AA N D R EY AH
PURPLE  P ER P AH L
EXCUSES  IH K S K Y UW S IH Z
EXCUSES(1)  IH K S K Y UW Z IH Z
PIERCE  P IH R S
SID  S IH D
APOLOGIES  AH P AA L AH JH IY Z
FUSS  F AH S
FOOLING  F UW L IH NG
BARGAIN  B AA R G AH N
BARGAIN(1)  B AA R G IH N
FEAST  F IY S T
BOARDING  B AO R D IH NG
COLLAR  K AA L ER
ATTRACTED  AH T R AE K T AH D
REVEALED  R IH V IY L D
REVEALED(1)  R IY V IY L D
SYMPTOMS  S IH M P T AH M Z
EXISTED  IH G Z IH S T AH D
ROSA  R OW Z AH
ENVY  EH N V IY
CRASHING  K R AE SH IH NG
FLAME  F L EY M
VISUAL  V IH ZH AH W AH L
FAME  F EY M
STUART  S T UW ER T
STUART(1)  S T Y UW ER T
STUART(2)  S T AO R T
DEL  D EH L
CLARA  K L AE R AH
CLARA(1)  K L EH R AH
HANDLED  HH AE N D AH L D
PERFUME  P ER F Y UW M
PROTEST  P R OW T EH S T
PROTEST(1)  P R AH T EH S T
PSYCHO  S AY K OW
EMOTION  IH M OW SH AH N
EMOTION(1)  IY M OW SH AH N
DUNCAN  D AH NG K AH N
BELIEVING  B IH L IY V IH NG
LEON  L IY AA N
DISPLAY  D IH S P L EY
UN  AH N
UN(1)  Y UW EH N
CONTENT  K AA N T EH N T
CONTENT(1)  K AH N T EH N T
MELISSA  M AH L IH S AH
DONALD  D AA N AH L D
PEPPER  P EH P ER
SKIRT  S K ER T
HARSH  HH AA R SH
REMAINING  R IH M EY N IH NG
REMAINING(1)  R IY M EY N IH NG
CRUISE  K R UW Z
REQUESTED  R IH K W EH S T IH D
REQUESTED(1)  R IY K W EH S T AH D
REQUESTED(2)  R IY K W EH S T IH D
OLDEST  OW L D AH S T
POSTED  P OW S T IH D
EMBASSY  EH M B AH S IY
CRUSHED  K R AH SH T
SCAR  S K AA R
COMPARE  K AH M P EH R
RHYTHM  R IH DH AH M
DINING  D AY N IH NG
EFFORTS  EH F ER T S
HEELS  HH IY L Z
DUG  D AH G
ADOPTED  AH D AA P T AH D
NINJA  N IH N JH AH
MYTH  M IH TH
HONORED  AA N ER D
WISHED  W IH SH T
SHOVE  SH AH V
FORMED  F AO R M D
DEFEATED  D IH F IY T AH D
DEFEATED(1)  D IH F IY T IH D
TABLES  T EY B AH L Z
DEDICATED  D EH D AH K EY T AH D
CERTIFICATE  S ER T IH F IH K AH T
DEFENCE  D IH F EH N S
COPIES  K AA P IY Z
TREVOR  T R EH V ER
DRUM  D R AH M
INFECTION  IH N F EH K SH AH N
AGGRESSIVE  AH G R EH S IH V
KURT  K ER T
SCOTCH  S K AA CH
CLUBS  K L AH B Z
RELATIONS  R IY L EY SH AH N Z
COMMUNIST  K AA M Y AH N AH S T
FEARS  F IH R Z
DARN  D AA R N
IRAQ  IH R AA K
IRAQ(1)  IY R AA K
IRAQ(2)  AY R AA K
CANDLES  K AE N D AH L Z
FROG  F R AA G
CHESS  CH EH S
ARSE  AA R S
BELIEF  B IH L IY F
CABINET  K AE B AH N AH T
CABINET(1)  K AE B N AH T
STUFFED  S T AH F T
DESCRIBED  D IH S K R AY B D
MERE  M IH R
WHIMPERING  W IH M P ER IH NG
WHIMPERING(1)  HH W IH M P ER IH NG
RUMOR  R UW M ER
ELEVEN  IH L EH V AH N
ELEVEN(1)  IY L EH V AH N
MS  M IH Z
LUNG  L AH NG
RAP  R AE P
WATSON  W AA T S AH N
PRIMARY  P R AY M EH R IY
ERROR  EH R ER
DEBATE  D AH B EY T
FILMING  F IH L M IH NG
ARRANGEMENTS  ER EY N JH M AH N T S
SUM  S AH M
SWEEP  S W IY P
ERA  EH R AH
ERA(1)  IH R AH
VAULT  V AO L T
LIQUID  L IH K W AH D
LIQUID(1)  L IH K W IH D
ROMEO  R OW M IY OW
FORBID  F ER B IH D
FORBID(1)  F AO B IH D
POSITIONS  P AH Z IH SH AH N Z
ASSIGNED  AH S AY N D
AIRCRAFT  EH R K R AE F T
SMARTER  S M AA R T ER
REALISED  R IY AH L AY Z D
GUNFIRE  G AH N F AY ER
GUNFIRE(1)  G AH N F AY R
DULL  D AH L
CHAP  CH AE P
FRY  F R AY
BRAZIL  B R AH Z IH L
TAPES  T EY P S
ISLANDS  AY L AH N D Z
SIRENS  S AY R AH N Z
VANESSA  V AH N EH S AH
CARGO  K AA R G OW
FIST  F IH S T
PERSONS  P ER S AH N Z
PSYCHIC  S AY K IH K
SUCKER  S AH K ER
DISCUSSED  D IH S K AH S T
DENISE  D IH N IY S
OVEN  AH V AH N
HATRED  HH EY T R AH D
BENCH  B EH N CH
WORTHLESS  W ER TH L AH S
LOSES  L UW Z IH Z
ENVELOPE  EH N V AH L OW P
KINDNESS  K AY N D N AH S
HELMET  HH EH L M AH T
TWIN  T W IH N
WARRIORS  W AO R IY ER Z
WARRIORS(1)  W AO R Y ER Z
ANDERSON  AE N D ER S AH N
SAILOR  S EY L ER
LADDER  L AE D ER
SHITTY  SH IH T IY
REPLACED  R IY P L EY S T
DUTIES  D UW T IY Z
BARREL  B AE R AH L
BARREL(1)  B EH R AH L
TURTLES  T ER T AH L Z
WOLVES  W UH L V Z
AFRICAN  AE F R IH K AA N
KUNG  K AH NG
CONNIE  K AO N IY
SURPRISES  S ER P R AY Z IH Z
SURPRISES(1)  S AH P R AY Z IH Z
ROARING  R AO R IH NG
IM  IH M
FOLK  F OW K
BANANA  B AH N AE N AH
ALTERNATIVE  AO L T ER N AH T IH V
DESIGNER  D IH Z AY N ER
DIAL  D AY AH L
DIAL(1)  D AY L
TON  T AH N
BLEED  B L IY D
SCREWING  S K R UW IH NG
CURTIS  K ER T AH S
CURTIS(1)  K ER T IH S
TENSION  T EH N SH AH N
CLIMBING  K L AY M IH NG
RAID  R EY D
CHIRPING  CH ER P IH NG
NARROW  N EH R OW
NARROW(1)  N AE R OW
VERONICA  V ER AA N IH K AH
COUPLES  K AH P AH L Z
JANUARY  JH AE N Y UW EH R IY
SCOUT  S K AW T
ATTACKING  AH T AE K IH NG
DEER  D IH R
DOROTHY  D AO R AH TH IY
DOROTHY(1)  D AO R TH IY
GRIP  G R IH P
CAMERON  K AE M ER AH N
STRIKES  S T R AY K S
TIN  T IH N
SURPRISING  S ER P R AY Z IH NG
SURPRISING(1)  S AH P R AY Z IH NG
ARRIVING  ER AY V IH NG
PARANOID  P EH R AH N OY D
EXECUTED  EH K S AH K Y UW T IH D
TENDER  T EH N D ER
UPSIDE  AH P S AY D
WARDEN  W AO R D AH N
SIGNIFICANT  S AH G N IH F IH K AH N T
SIGNIFICANT(1)  S IH G N IH F IH K AH N T
QUOTE  K W OW T
CORPORATE  K AO R P ER AH T
CORPORATE(1)  K AO R P R AH T
GUNSHOTS  G AH N SH AA T S
SUBWAY  S AH B W EY
KEEN  K IY N
STORAGE  S T AO R AH JH
STORAGE(1)  S T AO R IH JH
CUNT  K AH N T
VAIN  V EY N
NEAT  N IY T
TRAILER  T R EY L ER
ACCIDENTALLY  AE K S AH D EH N T AH L IY
ACCIDENTALLY(1)  AE K S AH D EH N AH L IY
ACTIVITIES  AE K T IH V IH T IY Z
MICK  M IH K
TWISTED  T W IH S T AH D
TWISTED(1)  T W IH S T IH D
OPERATOR  AA P ER EY T ER
ENTERPRISE  EH N T ER P R AY Z
ENTERPRISE(1)  EH N ER P R AY Z
CYCLE  S AY K AH L
HECTOR  HH EH K T ER
IMPORTANCE  IH M P AO R T AH N S
SIGNING  S AY N IH NG
RISKS  R IH S K S
IMPROVE  IH M P R UW V
GOOSE  G UW S
BASS  B AE S
BASS(1)  B EY S
VOLUNTEER  V AA L AH N T IH R
DRESSES  D R EH S AH Z
DRESSES(1)  D R EH S IH Z
MURPHY  M ER F IY
COOPERATE  K OW AA P ER EY T
COOPERATE(1)  K W AA P ER EY T
MODELS  M AA D AH L Z
WIPED  W AY P T
PACIFIC  P AH S IH F IH K
OBSERVE  AH B Z ER V
TIES  T AY Z
RESIDENCE  R EH Z IH D AH N S
LIP  L IH P
ASSES  AE S AH Z
KINDLY  K AY N D L IY
BENJAMIN  B EH N JH AH M AH N
GALLERY  G AE L ER IY
SPOTS  S P AA T S
SUSPENDED  S AH S P EH N D AH D
SUSPENDED(1)  S AH S P EH N D IH D
BERNARD  B ER N AA R D
BERNARD(1)  B ER N ER D
HELPLESS  HH EH L P L AH S
ELECTRONIC  IH L EH K T R AA N IH K
MOTORCYCLE  M OW T ER S AY K AH L
DOUBTS  D AW T S
WORSHIP  W ER SH AH P
WORSHIP(1)  W ER SH IH P
GEEZ  JH IY Z
GRADUATE  G R AE JH AH W AH T
GRADUATE(1)  G R AE JH AH W EY T
GRADUATE(2)  G R AE JH UW W AH T
GRADUATE(3)  G R AE JH UW EY T
SITS  S IH T S
FLAMES  F L EY M Z
CONGRESS  K AA NG G R AH S
EXECUTION  EH K S AH K Y UW SH AH N
SANDRA  S AE N D R AH
AFFECTED  AH F EH K T IH D
HANDLING  HH AE N D L IH NG
HANDLING(1)  HH AE N D AH L IH NG
TANKS  T AE NG K S
FINN  F IH N
FILED  F AY L D
BARE  B EH R
RITUAL  R IH CH UW AH L
ASSHOLES  AE S HH OW L Z
WHALE  W EY L
WHALE(1)  HH W EY L
DEPEND  D IH P EH N D
APPLICATION  AE P L AH K EY SH AH N
BLANK  B L AE NG K
CONTROLLED  K AH N T R OW L D
NIGGER  N IH G ER
CLAIMED  K L EY M D
FAINT  F EY N T
ALLAH  AA L AH
ASSOCIATION  AH S OW S IY EY SH AH N
ASSOCIATION(1)  AH S OW SH IY EY SH AH N
GLORIOUS  G L AO R IY AH S
MIKEY  M AY K IY
TUB  T AH B
PISTOL  P IH S T AH L
WEE  W IY
PEDRO  P EY D R OW
DESTROYING  D IH S T R OY IH NG
THREATS  TH R EH T S
PRACTICING  P R AE K T IH S IH NG
DEMOCRACY  D IH M AA K R AH S IY
